content,emotion
Why do I always have to deal with this kind of drama, anger
I've had enough of this nonsense I'm out, anger
I'm done pretending like everything's okay when it's not, anger
Seriously regretting getting involved in this mess, anger
I'm beyond angry right now I'm livid, anger
Why do people always have to push my buttons, anger
I'm so over this it's not even funny, anger
I can't believe I wasted my time on this nonsense, anger
I'm so tired of dealing with other people's drama, anger
I'm about ready to explode with anger seriously, anger
Why do I always end up in these infuriating situations, anger
I swear I have the worst luck ever, anger
This is just the icing on the cake of a terrible day, anger
I'm so done with people's stupidity I can't even, anger
Why does everything have to be such a freaking mess all the time, anger
I'm so sick of people's selfishness and ignorance, anger
This is absolute garbage and I'm not putting up with it, anger
I'm beyond furious right now I can't even see straight, anger
I'm about ready to scream at the top of my lungs, anger
I'm so done with trying to deal with this nonsense, anger
I can't believe I let myself get dragged into this mess, anger
Why does it feel like everything's always going wrong, anger
I'm so over it I can't even explain, anger
I'm this close to punching something I swear, anger
Why do I always end up in these infuriating situations, anger
I'm so freaking mad I can't even think straight, anger
I'm so done with people's drama it's exhausting, anger
This is ridiculous I can't believe I have to deal with it, anger
I'm about ready to snap seriously, anger
I'm beyond angry right now I can't even deal, anger
Chilling nothing much happening, neutral
Just vibing you know how it is, neutral
Keeping it low-key nothing too wild, neutral
Just hanging enjoying the downtime, neutral
Taking it easy no stress, neutral
Just cruising seeing where the day takes me, neutral
Chilling out keeping it relaxed, neutral
Keeping it real no need for drama, neutral
Just kicking back feeling the vibe, neutral
Chilling like a villain nothing on the agenda, neutral
Laid-back vibes nothing too hectic, neutral
Chilling with no particular plans, neutral
Keeping it mellow just enjoying the moment, neutral
Taking it slow savoring the day, neutral
Just chilling soaking up the good vibes, neutral
Keeping it casual no need for formality, neutral
Chilling out keeping it smooth, neutral
Just hanging loose nothing to worry about, neutral
Relaxing enjoying the calm, neutral
Keeping it easy-breezy you know, neutral
Chilling like a pro no worries here, neutral
Taking a breather no rush, neutral
Kicking it back enjoying the peace, neutral
Chilling out nothing but good vibes, neutral
Keeping it chill no need for complications, neutral
Just relaxing enjoying the downtime, neutral
Taking a chill pill feeling the vibe, neutral
Keeping it mellow no need to hurry, neutral
Chilling out living the easy life, neutral
Just hanging out nothing pressing, neutral
Relaxing vibes just going with the flow, neutral
Keeping it cool no need for drama, neutral
Chilling like a boss you feel me, neutral
Taking it easy no need to stress, neutral
Just chilling embracing the chill vibes, neutral
Keeping it smooth no need to rush, neutral
Chilling out feeling the good energy, neutral
Relaxing enjoying the laid-back vibe, neutral
Just hanging enjoying the downtime, neutral
Keeping it easy no need to overthink, neutral
Chilling like a champ nothing but good vibes, neutral
Taking it slow enjoying the moment, neutral
Just relaxing no need to complicate things, neutral
Chilling out feeling the relaxed vibes, neutral
Keeping it low-key enjoying the tranquility, neutral
Just vibing soaking up the chill atmosphere, neutral
Chilling out keeping it breezy, neutral
Taking it easy no need for stress, neutral
Just hanging enjoying the peace and quiet, neutral
Chilling like a pro no worries in sight, neutral
