sentiment,content
sadness,"@katrchrdsn Without whipped topping, there is no shortcake.   #shortcakefail"
happiness,@jaztwitta welcome home babe!
anger,I hate this bit
anger,fucken tired as fuck  it's sunny.. good day? deffff
neutral,Just learned aobut #starwarsday. Thus: &quot;There are only 3 movies and Han Solo shot first&quot;. Deal with it
anger,Sometimes black girls just piss me off like a mother fucker!
sadness,@heatherlilly what's follow Friday?? Lol.
anger,"sorry paul scheuring, but prison break series finale sucked... in so many levels"
happiness,i'm off to see a movie (&quot;17 again&quot;)
sadness,@southern_storm lucky! I'm still working for another 4 hours!
anger,Another Day gone by....  Have to wake up early again tomorrow
neutral,too much sulking over being single going on tonight on tumblr - gru3some: I am here to save the day.  http://tumblr.com/xd51qx88b
happiness,last drops of the thesis... God let it end today.
neutral,@Maab You weren't feeling well today? Meh blue tongue I did warn you.
neutral,I is goin to bed now
sadness,She is beautiful @webduck. But don't feel badly. Some neaby grans see grandkids about the same amt.   Can't go to them = out of luck
happiness,Thanks to all who follow me  ... wish ya'll the best ;)
happiness,@TravelTweetie I will go to sleep now. Might be awakened early w/breakfast tray from my 'spark' &amp; my 'joper' w/their Dad's help
anger,@Mfjmaf Namaskar &amp; Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !
sadness,"@siansburys I've lost count of the number I've rung today already    Were going to Wales, but I'm due in court on monday!"
happiness,just woke up...for  once I managed to sleep in!! going out for lunch later then back to essay
happiness,Happy Mother's Day.....................I had a gr8 day with my kids &amp; my MUM
neutral,man u know things get very interesting sometimes lolll....im just 2 damn good
anger,and this stupid wireless wont work downstairs
sadness,This will be the worst day ever....graduation
anger,Waiting in a long line at chick-fil-a
happiness,(@JMBuckett) Oh snap... kinda nuts right now... @basedmagazine:  I've told at least 27  Thanks babes.
anger,@LouisPagan @Raul_Ramos Txs so much for #followfriday...i have been so MIA recently...work is killing me! Hope you r doing funtastic
neutral,"@patricklanglois http://twitpic.com/4w52z - hope you're having loads of fun!  i love and miss you all, boys."
anger,@Lady_Lynn @deanna_raquel ahh man  ok if y'all end up doin sumthin else let me kno so I can meet y'all 2 see wht yal gone do..
anger,Have to keep bumping the mouse so my computer doesn't go to sleep. No Internet access  No files to work on. Slowest Friday eeeeevvveeerrrr
sadness,I am in so much pain I really don't feel too good. Couldn't eat my dinner
neutral,i ate too much ice cream and curly fries
happiness,@AlexaRPD Nice action shot: http://bit.ly/m8zfx  I miss working a pole.   __ dont you see clients everyday?  lol
neutral,"Work, work, work. Finally not sick, though."
anger,Ughh. That Miley creature song has infested itself in my brain!
happiness,@JordansUKgirl jonathan tweeted a happy mothers day  but that is all..lots from dave @retrorewind though
sadness,First Natalie and now little Holly. This is mean
neutral,@asym Love the unique accordion thief buffs - thank you!
sadness,Hey every1! Do yesterday was my prom and it was the best. I wanna go back in time :] Ima miss every  new picks up soon myspace.com/risound
happiness,thinks that Pipers molars are cutting thru  we had a nice lil nap me and the girl...now just another friday night at home w/ the lil ones
anger,@jlamshed You're sending tweets to yourself again!
happiness,Happy Mother's Day to all the moms out there!
happiness,Chilling out listning to Seal!!
anger,"@roediger316 It wasn't the best flick, to be sure.  I'm just ready for &quot;Star Trek&quot; now"
neutral,right anyone know what episode of Bones is showing on sky2 tonight at 9pm - programme synopsis is not available on my box
anger,just got back home... bored now
neutral,@Neicy55: just got home from drews bday.
sadness,Halla Miss Haloom  .. how are you dear? am doing fine so far but .. eeem worrying about rationale project.. Allah eyaseer inshallah
sadness,Waking up at unGodly hours to go to work is starting to get old. At least the coffee is good
neutral,"@jordangerous Oh, I don't really have much of an opinion on her either way. It's just a night to rip everything."
happiness,wayyyyyy full. love you mum
sadness,@3RDegree09 man i still haven't seen that movie...too bad i'm at work
sadness,@ReRobb maybe tonights the night to pick it up again?
neutral,@rustycharm retail paper... Sounds like a plan!!  should probably start so somebody will be awake to answer them...
sadness,@KatiexCobraYo awww boo! I fucking lovee doing all the girly thingss
neutral,"http://twitpic.com/675u6 - Square B - she is sad because she wasn't there and now she's, well, square  (crocheted bee with poly fibe ..."
anger,English exam! Bleh i hate vocab
anger,@jojeda I'm a minute in and I want to strangle the used car salesman doing the presentation. Is he related to the ShamWOW guy?
sadness,"@minnaryyni Heh, aye. I should have investigated properly first before asking  Does seem like it's not the most obvious thing though."
neutral,looking at the moon and thinking about _____...
happiness,@mikefoong lol i like challenges  the more impossible the more i want to try!
happiness,@aussieboby i like it    #masterchef
anger,"Back in Glasgow, stuck in traffic on the M8"
happiness,going to the library. I miss u already!
neutral,"is filling out FMLA forms, soccer &amp; t-ball forms and working, of course."
anger,@maenad_au see i never got kyile.. not then not now ... see I must have some taste
anger,"http://twitpic.com/4wbnd - dont worry , i let him go . i named him fishyyy"
anger,"**i hate my hair hiss tee, I feel like I shuld hang out in the ghetto wid dis style"
happiness,Digging a downloaded film with mi familia. We love iTunes
anger,Weather sucks. APUSH filming has become a maybe  At least banquet is tonight
happiness,just got up  Wheres the sun? =O
anger,"@computermuseum shame I dont still have my 286 compaq portable, which was really anything but portable LMAO, last tweet 4 now, toodle pip"
anger,hates the net. ayaw bumukas ng twitter.  http://plurk.com/p/wxlxs
anger,I really hate it when someone calls themself your friend BUT you only hear from them when they want something from you  #friendfail
anger,@marcosrivera08 I am very angry at this information Marcos!!!!!!
anger,U know I didn't care for that wolverine movie and I'm a xmen fanatic. That joint sucked to me.
anger,@Katt53 no news on the kid. They can't find the parent!
happiness,Design galore! Yayyyyyyy  progress beyond my imagination. Now...to get my flattie to sort out the Internet to send orders out!
anger,11 Days left until freedom. I really just want to get through this weekend. I hate essays.
happiness,acsvxdcbgfn soccer now. shall see young phoebe after D: I don't want her dressed up though
sadness,@DavidSadof I'm not sure about this tweet business  Why are the simple things so difficult?
sadness,i have high cholesterol
neutral,"@karess I do feel bad for him too. Especially na ngayon pa siya nagrerehab siya and all. Wrong timing. Still, maybe he had it coming"
anger,Ugh.. Fricken Internet is down. Can do like 0 work without it. I want back in college just for the connection
anger,first day of summer sucks!!!! its overcast and cold...  this isn't summer!?!?!?!?
neutral,@wheatskeleton Uhhh. Bring it over when you can.  Matthew and Keren have never seen it.
neutral,@FamousRejects OmG U NasTY
sadness,"John, are you sure we aren't mtb?"
anger,"went to galveston, want to go back"
anger,awhile ago it freaking hot! now it's wet  turn off!
sadness,Love how my printer decided to print all my blacks all marbled - 1hr before an interview for new work this morning.
anger,"And you could have it all, my empire of dirt! I'm in a&amp;e with dad I'm freezing fully shivering Every1 else is warm  no fones allowed ffs!"
neutral,@coollike toy story pwns
sadness,@glennbeck My husband is loosing his GOVERMENT job due to downsizing-he is looking for a new job but can't find one in our small town
neutral,"http://is.gd/IQ03 Microsoft has released Zune also in Europe, no HD for us"
happiness,"Today in a Week, I am 18.. yiha"
anger,This class is really long and I'm really getting hungry
happiness,@pameladetlor aw honey... you just relaxin? That's probably for the best.
neutral,@hellokittylei on a day like this...
anger,"i have a degree,bitches!!! moving t o dallas in a few hours"
sadness,GAWD!. If only that dream actually happened last night....
sadness,@nkeathley tried to join the chat but the site would not let me sign in
neutral,Interesting. I type 'bike' i get 10 bike company followers. 'Download' gets me 5 IT companies. Amused.  Can you say 'keyword'?!
anger,@TerrenceJ106 lets see.. we hate that groupies are damn near stalkers.. we love that they send gifts..
anger,@_supernatural_ more Demon Sam!! I need it to numb the pain  xXx
happiness,@Minicooperr yeahh! Ryland was amazing xD BUT I DIDN'T GET A HUG OFF HIM booo  Suarez seemed a bit off tbh..but I think he'd just woken up
happiness,@racemode lol.. who know the president could be a comedian?
happiness,"Wolverine was much fun, but Gambit was a bit disappointing.  Neither smooth nor Cajun enough for my taste. Pretty though"
anger,via @uhmmm: Christopher Moore &quot;You Suck&quot; - hmm tja.. sucks
anger,Stupid storm. No river for us tonight
sadness,@EAZY_ERON Effy breaks my heart.
neutral,on no bsg might just have made me cry
anger,@johnataylor She should keep her crown and shut her mouth!   Then she'll know what non-judgmental means!
happiness,@thriftymommy - I enjoyed seeing EVERYONE that presented on Saturday at the Clark Howard event - Especially the 3 pre-clark speakers
happiness,@sicop ah helping my friend move and will defo be having a well deserved pint after it that's for sure
happiness,FRIDAY so freakin happy today was an annoying day  buuut WEEKEND! TGIF&lt;3
anger,God I HATE scary movies. They are not fun at all. I'm such a wimpy.
neutral,"@m_bui yeah right. I just accepted my grants, and it covered at least 10,000+ of my school fees. tritonlink is down so i cant verify"
happiness,@katyperry the good life!!! - under a honeymoon
anger,dam it keeps rainin on me
happiness,I am loving this beautiful monday morning!
anger,Wish my headache/almost migraine would go away!
happiness,@jadeeisabel nah they were mine  @brydielonie had ones without fingers
anger,misses her phone... having no service sucks
happiness,@damoxy Cheers!  I'd like to thank zBrush for making it all possible
happiness,@diane4president visit si fr joemar dito bataan (frm camiguin) &amp; sum of my ofcmates&amp; i are supposed to meet him this saturday  can't luwas
happiness,Watching loudQUIETloud documentary about the ever awesome Pixies. Realised Joey Santiago and David Lovering are Twitterers. Fantastic
anger,@Karmina13 what's up? what happened? DM me if you need to. TXT on my phone is defunk'd
happiness,@ddlovato i wish i was there! but i live in holland ): but i'm going to see you in paris
happiness,"Oh, are we pushing the #GQMF trend tonight? Awesome. (I am woefully behind on my ontd_startrek reading  )"
happiness,@cosmicgirlie good luck!! How exciting
anger,Just dropped my sistah off @ lax.    #fb
sadness,Ugh soooo much work to do today while trying to make the 6:10 train to the game... looking like a 4-5 hour Sunday at the office.
anger,&quot;locked up abroad&quot; makes bein half brown good risk mgmt when travelin 3rd world. i blend. i feel sorry for my hostage magnet white pepo
happiness,Listening to the new Green Day album  Fingers crossed!
anger,"@fergmaster Sons of bitches, why couldn't they put them on the releases we already bought"
anger,"@_missJP LMAO! ugh i know, i need to sleep the Qdoba off before i do all that workin out. and no, ur pic doesnt show"
anger,hate this fucking cold. i can't stop sneezing. and claratyne only works for an hr or 2
neutral,That damn money sign. Ugh.
sadness,@omgjoker o its feels like a hot box and no matter where i go in here it still feels like a hot box! ice cream isn't working n e more
anger,I tried to dye my hair and all i got was a blond chunk in the front middle part of my hair. Dang.
neutral,forgot my phone at home
happiness,"@DerrickJWyatt Yeah, I'm not really feeling it either. Of course, I don't like the movie line, I wish that we were getting more Animated."
neutral,@like_an_emo es tut mir leid?
anger,"@kimi_joyner And he can't even tell me.  Me and him are fucking done, professionally. Fuckin' ass."
happiness,@shygamer @Zeralyn I told ya'll I am a good girl. You can see my halo and everything
sadness,@kerlikoiv very familiar.....sorry you're feeling that way
happiness,@chearn73 thank you  make sure u read the groups description to better understand this project
neutral,WANTS TO GO TO SLEEP WITH THE SOUND OF THE RAIN
neutral,Download movie  &quot;Ben 10: Alien Force&quot; http://tinyurl.com/czb7b2 cool #movie
happiness,someones dead on army wives. Dad just laughed and Mum got annoyed with him. I wanna watch Britains Got Talent
anger,My niece had e-learning yesterday. She used my computer. I had like 2-3 hours of sleep only. I was cranky and I behaved like an ass!
happiness,"@honk4peace Yes, we do love and miss you @ChubbyGayMan Others have told me privately too"
neutral,@jberrebi Use mozy.com
anger,id be happy thats its friday if i didnt have to work tomorrow  blah
sadness,missed out on westcott micro apollo too
happiness,"Why does #googledocs do folders, instead of labels like #gmail? I kind of like labels"
anger,"@jaulin Maybe you have, my memory sucks."
neutral,waitin for some Fall out boy
neutral,@nindrawr ngobrolin favorite bands at the moment cii... kesian ya kamu speakernya rusak HAHAHA  benerin dong ci.
anger,@t0ns:  nou moe... stomme banken/crisis shit :S
sadness,@KoFiBaBy wats gooood !! miss yall already
sadness,Puzzled by people's mood swings... it makes me somewhat sad that I can't pinpoint  how  they feel
anger,@GeekWearsPrada Have you been going to the Trop for the last 5 years?  No more games for you!
happiness,&quot;leave the pieces&quot; - the wreckers... hmm
sadness,@djcommish @JuneBug143 Awww hey boo..  i know i miss all of them
happiness,people with mustaches get super powers and mustaches. no fair.
happiness,@DannyjClayton star wars ............ is gay BOO??? i wanna do your job HAND IT OVER  u can act as me at my high school   LOL
happiness,@JESS_TRUESDALE lmao! you a mess.  Im gonna be in ATL in a few weeks
sadness,One downside of the nice weather: It brings of the chavs...
happiness,has just finished recording the improvisation for the second instrument in the latest podcast and is happy. nearly mixing time.
neutral,@jazzt byeeeeeeeee watching new DH  X
sadness,My tongue still hurts.  I need to sleep!!!
anger,This is getting on my nerves. I cant change my pic
anger,@principalspage Grrr. We don't finish until July 3rd.
neutral,is wishing she would get more followers
sadness,"@TysonColinJoe I use an external track ball with my laptop. Again, seems excessive, but is totally more efficient."
sadness,"I'm always a little sad to see followers I really like, decide to unfollow me."
neutral,".@throwedmind210 No sun  but I can see the ocean now..I almost ran over a squirrel driving home from the store, was so foggy! Where r you?"
sadness,"I'm up. getting ready for skill. can't wait to fail my bio final yay! ugh, honor classes suckkkk.  ):"
neutral,"Just sneezed three times in quick succession. But three is not four, so no record."
anger,@alexlomas Bastard! I want to be at the beach in the sun
anger,i'm getting ready for tonight (teachers dinner on the beach!) but it's raining and i hate this!
sadness,"@kristenstewart9 Hi!good luck for the mtvawards, Im sure you're going to win!I hope so!I Love your work! ha you speak spanish? take care"
anger,@Jorge924 you might also want to include &quot;never wear a moonwolf&quot; to that
happiness,F1 &amp; Star Trek...what a great Sunday
anger,fuckin'm transtelecom
anger,@JuliusLionheart y r we giving up on people?  I actually thought that way for a while too before I found someone who is very intriguing
anger,@Kikirowr Downside though is that you're breaking the thread.
sadness,"The geeks were out in full force to see Star Trek. Yes, myself included."
anger,Cleaning my house on a Friday night
anger,Damn it. Totally gutted I decided not to go out tonight. Roni Size is DJing
anger,does not like ups much today...
happiness,"@emma_BMTH i also want to attend the tafe gig  I asked mum about soundwave and she was like, hmmm possibly. which probably means yes."
sadness,Yay! I just fixed my blog's CSS problem that messed up the design
neutral,I wanna listen to the full Send It On
neutral,@MegMegMeg123 I ran out of space....hugging Jacob and Edward is just by himself
anger,"@LeahMul awh, thats not good,   get better soon!"
neutral,@mohandoss ?????? ???????? ????? ????????. ????? ?????????   @anbudan_bala thanx for the sixer comment
happiness,@QuestCon That gave me a great smile. Nice way to end the day. You are so right
anger,"i hate working, especially when the weather is good"
happiness,Chicken beer and good company makes a good night...
sadness,Hes just not that into you
sadness,eww. cant sleep and its 2:38 am
happiness,"@18_2 Hey, Thanks 4 The Advice &amp; Support"
sadness,@heltershelter we are in line now waiting..if only he knew!!
anger,@cre8tn You and your Yuotube links.  DENIED at work.
sadness,@bernadinee thank for ur gnite and... *thank* for ur photo of sims 3... heart broken here
neutral,"trying to learn for my oral exam, but I'm too distracted"
anger,Cars been dropped off for service and mot  getting the train home! Hate public transport!!
neutral,Shiyet! Umulan din.
neutral,@mareyachristina haha i wish i could! I look like a little boy now
anger,@joolzP1 i was studying computing this year...bring as feck!! changing to plant science  next year
neutral,backe backe... MUFFINS!!!
sadness,is gaining weight.  rather
anger,Getting AxKit running on Ubuntu 8.04 is making my head explode.
sadness,@kyza holy cute! Dexter has already lost his kitten face  gettin a chunky butt since we got back from qld too haha
neutral,@addisontodd um hi. Good morning. Rough night?
happiness,@mswilliamsmusic awww shooks  now im gon be all overprotective just incase you start cybercheatin on me lol
happiness,@OHMYDAYSitsHayz lol! I thought it was pretty funny too!
happiness,@DomCorleone  oh hell yeah lol. im a vegetarian tho but i still cooks the mean =X im a traitor
sadness,"@hazelnutchoc Same as, it's BS I tell you! Ah well, better attempt some"
happiness,@Fuzzy2230 anyways have a severe headache ryt now! i jst love dis cup of tea i made me self!! its makin the headache go away
anger,"EVIL CREDIT CARD COMPANIES!!  God, and just when I was starting to *build* my credit again - I get this stupid 'ding' from them!"
sadness,My car has an alarm &amp; immobiliser so it makes it incredibly complicated AND costly! I have no key code neither for the immobiliser.
neutral,@temple3000 starbuck
neutral,Instant Internet Marketing EMPIRE! + *BONUS* recoup your investment in 24 hours or less  http://megaredpacket.com/?aff_id=7891
neutral,"@Gregor123456789 sure, i will"
sadness,@Helmuts hey helmuts!  im ratty if u remember me from scootertechno.. ;)
anger,just fought with my printer...after 2 hours i claim victory... i hate electronics
neutral,Bai KT and I have decided that at my Disney wedding we will have a parade and a mushroom trampoline float that KT and Bai will jump on
happiness,@jtimberlake wweeeeooo! snl soon
anger,@eminem http://twitpic.com/4j585 - Guess I need to get me an iPhone now for sure!!!  It looks bad ass!!
neutral,@RajaSen Sports Bar Shatranjanpoli Rest Ph 26498457 All Sports Bar Andheri W 26733333 Dont know whether that helps. Google ki jai ho
anger,"wakey wakey lemon shakeyyyy!  haha, goin' 2 schooliooo!  it's raining!! (ugh!) guess where I WISH I CAN BE RIGHT NOW....CaLiFoRNiA! ???"
happiness,Happy Mother's Day !  I feel blessed on this day to have wonderful son who is also my best friend
sadness,@goddessgreeneye i know but it will make us all watch the awards on sunday! lol..i want to shower and there is no water!
happiness,@jasminezarasani haha iya. your welcome sist!
neutral,Just got back from school! Ugh I don't want to go to the dance tonight
sadness,"just played like, 5 games of dota hahaha. I wanna go home"
anger,Windows updates suck. There are so freaking many of them.
anger,@mashable Link to ff &quot;how it works&quot; is broke!
neutral,mum is driving me and the Eric out to jt for the night.
anger,I think I did okay on my Math Test today. I really really really hope I did. If I didn't I swear I will get SO mad at myslef.
anger,i can't studyyyyyyyyyyyyyyyyyyyyyyyyy  i have an exam tom
sadness,@modernemotive Done. Thank you
neutral,finally not talking about teachers but facilitators  #edumedia09
sadness,still hoping for a job... but now i have strep so looks like i wont be looking around places for the next couple of days
anger,"Frustrating when u r in the mood, but your partner is at work. Ugh!"
anger,school is so pointlesss. seriously though. 7 days of school left and all we do is watch movies and make powerpoints. let me leaveeee
anger,Forced to eat red hotdogs coz I'm starving and there's nothing else for breakfast. Ick.
sadness,@jordanknight are you TINK'N the people on the street in NY waiting 4 friday are crazy? Brooke
happiness,@DavidArchie Yeahhh you do that lol
neutral,"@benno37 I have been subtly replacing it with &quot;penetration testing&quot; when I see it, but nobody's caught on yet."
anger,@paulmoxham everything is your fault moxy...everything.   x
anger,"I'm Twitter dumb. Just saw my &quot;@thecraftpantry.com&quot; &amp; all the kind folks who've tweeted me. AH!So sorry, I'm not ignoring you, just SLOW."
anger,"@worldarts I see we are approaching a nice round 5500 number, I expect you will have crashed through that by the time I come back tonight"
happiness,"get down tonight: http://bit.ly/QxXhi  the bridesmaids, moms, bride &amp; I rockin' the reception"
happiness,last few hours in singapore!!  i don't want to leave!!!!!
neutral,@chelsea_playboy R.I.P curls
anger,The Taxi Q at Pelangi was super loooong.. and now I'm getting headaches because of the hot-cold transition
sadness,Don't really feel like I got a tan  I gave up and am working out instead. Skin cancer is overrated. &lt;3 CJ
anger,"We waste way too much paper @ the office... for nothing worthy, that almost disgust me"
happiness,is going to bed soon. happy mothers day to all the mothers  &lt;333 ryan less than 3 weeks :]
anger,depressed; my best friends pissed @ me
happiness,The wife gets stung by a bee and she has been acting like i big ass baby ever since and this was about 5 hours ago.  lol what a baby.
sadness,My Tummy Hurt
anger,Flip flops are a menace! I've cut one of my feet  Ouchies.
neutral,In this exact moment i have decided that in some point in my life.. i am going to adopt a child
neutral,@willcarling So who's going to win the Heineken Cup?  Just need to know who *not* to bet on
sadness,I'm going to miss my iMac so much over the next month.
happiness,gahhhh homework. masterchef in half an hour! hahah and the recruits
neutral,@eucalyptusapp I saw the note in FAQ about other languages.  any thing that would change your mind? need any help or anything else?
happiness,@dorothearose you are the sweetest.  love you cuz!
sadness,"@GeeEmm There will be NO vidoe evidence!  I can't wait, though. Now I just need 2 find a regular partner if I end up loving it!"
neutral,"curses, firewall/proxy server restrictions! @trixie360 it will have to wait until I get home"
sadness,@Kristen_Oyler Poor little woman with her smushed in head
happiness,good morning folks!   what ya gonna do today? it's mothers day
neutral,@laccboner mom said no.
sadness,there's nothing worse than getting a text about a dog that was abandoned in your town
anger,has a VERY arduous task to accomplish at work...stuff that should have already been done &amp; as usual it hasn't. Not because of me either.
sadness,feels like crap whenever she lays down. @)(1+-'$#! I hate heartburn &amp; backaches!
sadness,Babysitting the little kids! I cant believe the year is over!
sadness,Smackdown is a lot more boring without Maria.
sadness,"I love summer, but I oddly don't want this school year to end."
sadness,I want to go home!!
anger,It's car crash tv at it's worst.
neutral,no new episodes for hitman reborn yet
sadness,"@tommcfly maybe you could go outside to meet some fans?  im not even from sao paulo, im from rio, but.. idk, just saying :/"
happiness,"listening to MCR, watching DVD's, chocolate hehe  awesome"
happiness,"Home from Ghosts of Girlfriends past with my lovely luddite  Not exactly high theatre, but a good date movie!"
neutral,"Obama last night: &quot;Most of you covered me, all of you voted for me. Apologies to the Fox table.&quot;       http://bit.ly/bGcnW"
happiness,happy maders day
anger,@UniqueGuitarist Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol
anger,is home  excited that gemma is getting her breaking dawn MWAHAHAH (evil laugh)...is angry with hopeless assholes ...
neutral,Is twubbing again
anger,And I want you to shut the fuck up.... I really hate living with my step dad. =-\ I can't wait to move out...
neutral,anyone want to buy a place on the Oregon Coast?  It is one gorgeous area and unfortunately for me it must be sold.
sadness,Lil Kim ;  Download omq ; i think i like that sonqq noww lol .
sadness,is feeling really sick
anger,@RobynHumes Can't  Bro on laptop &amp; Salm on comp! Me stuck with Wii :'( xx
neutral,@corkyloowho haha  @Jonasbrothers y'all should REALLY hurry up and announce AUSTRALIAN tour dates. it's been 3 freaking MONTHS! @thePISTOL
anger,"@snowgirlsungirl I am sure every office has them. Men and women with no capacity to realize they should SHUT THE UNHOLY FUCK UP, Christ"
sadness,@theycallmeTAP http://bit.ly/3oRh6 &lt;&lt; i miss music like this
anger,@Devotfeige man that sucks.
neutral,going to Glasgow...
neutral,#thingsmummysaid...rollercoasters are only multi-storey car parks without walls.
neutral,"@TraceyDukes Hey, TDukes! I flwd U immediately this morn.when DHmptn mentioned the bit abt the tattoo. LOVE her,she's my #1Fav. twitterer"
sadness,"@funhiguy Hi man, yeah I so wanna go, but I'm on Maui  #liloven"
happiness,@Oprah Happy mother's day Oprah.  You're a mom to your girls too!
happiness,Why do people have 2 be so deceitful and unreal?  But my love for Steve Jones and Channing Tatum has been renewed lol...their soo nice
anger,"Sometimes I hate myself, but that's normal so I don't worry bout it"
neutral,@regularjen thanks!
sadness,Alcohol makes me tired. And I miss and want him so much. It hurts
happiness,at BIF.... i love this buliding....
happiness,"Goodnight. Actually, great night. Seeing Daniel tomorrow!"
happiness,@lanceseabourn I know  but this sub is sooooo good
anger,"@FreyaLynn damn, for reals? wtf"
sadness,I have tummy ache.  Probably not helped by eating /that/ many tic tacs.
neutral,@chocolatepixels I have a new found respect for you now that I know you know the Konami code!
neutral,@MarkIsMusing  - I always appreciate your &quot;musings.&quot;
neutral,@kaydence02 we r the lost troopers. But I want to know
happiness,@laurenconrad http://twitpic.com/4wh4d - LAUREN is AMAZING....well from what I see on the hills lol  Seem like a great friend to have!!
happiness,Don't you hate it when you're left with one slice of bread left in the bag? Half sandwich.
